date,Avg. wind,wind gusts
2018-5-1-10-0,0,4
2018-5-1-10-5,1,5
2018-5-1-10-10,0,0
2018-5-1-10-15,0,0
2018-5-1-10-20,0,0
2018-5-1-10-25,0,0
2018-5-1-10-30,0,0
2018-5-1-10-35,0,0
2018-5-1-10-40,0,0
2018-5-1-10-45,0,0
2018-5-1-10-50,0,0
2018-5-1-10-55,5,11
2018-5-1-11-0,4,14
2018-5-1-11-5,8,16
2018-5-1-11-10,10,14
2018-5-1-11-15,11,14
2018-5-1-11-20,10,16
2018-5-1-11-25,9,12
2018-5-1-11-30,11,14
2018-5-1-11-35,10,17
2018-5-1-11-40,12,15
2018-5-1-11-45,11,15
2018-5-1-11-50,12,16
2018-5-1-11-55,10,12
2018-5-1-12-0,11,14
2018-5-1-12-5,10,14
2018-5-1-12-10,9,15
2018-5-1-12-15,9,12
2018-5-1-12-20,10,16
2018-5-1-12-25,9,18
2018-5-1-12-30,12,16
2018-5-1-12-35,11,16
2018-5-1-12-40,12,16
2018-5-1-12-45,11,19
2018-5-1-12-50,14,18
2018-5-1-12-55,12,18
2018-5-1-13-0,11,17
2018-5-1-13-5,11,17
2018-5-1-13-10,11,16
2018-5-1-13-15,12,16
2018-5-1-13-20,10,15
2018-5-1-13-25,8,14
2018-5-1-13-30,12,17
2018-5-1-13-35,12,17
2018-5-1-13-40,12,16
2018-5-1-13-45,9,16
2018-5-1-13-50,9,16
2018-5-1-13-55,13,18
2018-5-1-14-0,12,17
2018-5-1-14-5,12,17
2018-5-1-14-10,13,18
2018-5-1-14-15,13,18
2018-5-1-14-20,10,15
2018-5-1-14-25,7,16
2018-5-1-14-30,12,17
2018-5-1-14-35,11,16
2018-5-1-14-40,8,14
2018-5-1-14-45,13,21
2018-5-1-14-50,13,20
2018-5-1-14-55,11,19
2018-5-1-15-0,11,19
2018-5-1-15-5,14,19
2018-5-1-15-10,17,20
2018-5-1-15-15,10,19
2018-5-1-15-20,14,20
2018-5-1-15-25,17,21
2018-5-1-15-30,15,19
2018-5-1-15-35,12,19
2018-5-1-15-40,13,22
2018-5-1-15-45,12,19
2018-5-1-15-50,9,17
2018-5-1-15-55,12,19
2018-5-1-16-0,9,19
2018-5-1-16-5,15,23
2018-5-1-16-10,13,19
2018-5-1-16-15,13,23
2018-5-1-16-20,10,20
2018-5-1-16-25,9,15
2018-5-1-16-30,7,16
2018-5-1-16-35,8,18
2018-5-1-16-40,14,19
2018-5-1-16-45,15,19
2018-5-1-16-50,16,20
2018-5-1-16-55,16,21
2018-5-1-17-0,17,21
2018-5-1-17-5,16,23
2018-5-1-17-10,15,22
2018-5-1-17-15,17,23
2018-5-1-17-20,20,26
2018-5-1-17-25,19,25
2018-5-1-17-30,16,25
2018-5-1-17-35,12,28
2018-5-1-17-40,18,24
2018-5-1-17-45,16,27
2018-5-1-17-50,13,24
2018-5-1-17-55,21,26
2018-5-1-18-0,18,25
2018-5-1-18-5,13,23
2018-5-1-18-10,13,20
2018-5-1-18-15,12,21
2018-5-1-18-20,19,26
2018-5-1-18-25,15,20
2018-5-1-18-30,15,21
2018-5-1-18-35,15,19
2018-5-1-18-40,9,18
2018-5-1-18-45,12,22
2018-5-1-18-50,10,20
2018-5-1-18-55,15,21
